host	replaced_by
Indian Gaur	Bos gaurus
bovine; male	Bos taurus
bovine; female	Bos taurus
Bos taurus taurus	Bos taurus
adult bovine	Bos taurus
cow; pregnant	Bos taurus
Cow	Bos taurus
bovids	Bovidae
Bubaline; female	Bubalus bubalis
Bubaline	Bubalus bubalis
C. j. jacchus	Callithrix jacchus
Canis Adustus	Canis adustus
jaskal	Canis aureus
jackle	Canis aureus
jackel	Canis aureus
jackal; male	Canis aureus
Jackal	Canis aureus
stray dog	Canis lupus familiaris
Sri Lankan dog	Canis lupus familiaris
rabid domestic dog	Canis lupus familiaris
pet dog	Canis lupus familiaris
Indian dog	Canis lupus familiaris
Domestic dog	Canis lupus familiaris
dog; voucher: CCPZUI/DBS/01/102016	Canis lupus familiaris
dog; male; terrier	Canis lupus familiaris
dog; male; pomeranian	Canis lupus familiaris
dog; male; crossbred	Canis lupus familiaris
dog; male	Canis lupus familiaris
dog; female; German shepherd	Canis lupus familiaris
dog; female; french bulldog	Canis lupus familiaris
dog; female; french bull dog	Canis lupus familiaris
dog; female	Canis lupus familiaris
dog head	Canis lupus familiaris
dog brain	Canis lupus familiaris
dog body	Canis lupus familiaris
Dog	Canis lupus familiaris
doe	Canis lupus familiaris
Canis lupus familiaris; male	Canis lupus familiaris
Canis lupus familiaris brain	Canis lupus familiaris
Canis lupus familaris	Canis lupus familiaris
Canins lupis familiaris	Canis lupus familiaris
canine; male	Canis lupus familiaris
canine; female	Canis lupus familiaris
canine (dog)	Canis lupus familiaris
canine	Canis lupus familiaris
C. thous	Cerdocyon thous
african wild civet	Civettictis civetta
hognosed skunk	Conepatus leuconotus
US big brown bat	Eptesicus fuscus
Equus mulus	Equus asinus x Equus caballus
horse; male	Equus caballus
Horse	Equus caballus
Equus ferus caballus	Equus caballus
Arabian horse	Equus ferus caballus
zebra	Equus quagga
stray cat	Felis catus
African mongoose	Galerella nigrata
man	Homo sapiens
Homo sapiens: female	Homo sapiens
Homo sapiens; ex dog in India	Homo sapiens
Homo sapiens male	Homo sapiens
Homo sapiens 9 years old male	Homo sapiens
Homo sapiens 9 years old female	Homo sapiens
Homo sapiens 8 years old male	Homo sapiens
Homo sapiens 78 years old female	Homo sapiens
Homo sapiens 75 years old male	Homo sapiens
Homo sapiens 74 years old male	Homo sapiens
Homo sapiens 73 years old male	Homo sapiens
Homo sapiens 73 years old female	Homo sapiens
Homo sapiens 71 years old male	Homo sapiens
Homo sapiens 70 years old male	Homo sapiens
Homo sapiens 67 years old male	Homo sapiens
Homo sapiens 66 years old male	Homo sapiens
Homo sapiens 65 years old male	Homo sapiens
Homo sapiens 65 years old female	Homo sapiens
Homo sapiens 63 years old male	Homo sapiens
Homo sapiens 62 years old female	Homo sapiens
Homo sapiens 61 years old female	Homo sapiens
Homo sapiens 60 years old female	Homo sapiens
Homo sapiens 6 years old male	Homo sapiens
Homo sapiens 59 years old male	Homo sapiens
Homo sapiens 56 year old man	Homo sapiens
Homo sapiens 55 years old male	Homo sapiens
Homo sapiens 52 years old male	Homo sapiens
Homo sapiens 52 years old female	Homo sapiens
Homo sapiens 48 years old male	Homo sapiens
Homo sapiens 46 years old female	Homo sapiens
Homo sapiens 45 years old male	Homo sapiens
Homo sapiens 44 years old female	Homo sapiens
Homo sapiens 43 years old male	Homo sapiens
Homo sapiens 42 years old male	Homo sapiens
Homo sapiens 4 years old male	Homo sapiens
Homo sapiens 39 years old male	Homo sapiens
Homo sapiens 38 years old	Homo sapiens
Homo sapiens 35 years old male	Homo sapiens
Homo sapiens 35 years old female	Homo sapiens
Homo sapiens 32 years old male	Homo sapiens
Homo sapiens 31 years old female	Homo sapiens
Homo sapiens 30 years old male	Homo sapiens
Homo sapiens 30 years old female	Homo sapiens
Homo sapiens 3 years old male	Homo sapiens
Homo sapiens 24 years old male	Homo sapiens
Homo sapiens 22 years old male	Homo sapiens
Homo sapiens 20 years old male	Homo sapiens
Homo sapiens 19 years old male	Homo sapiens
Homo sapiens 16 years old male	Homo sapiens
Homo sapiens 14 years old male	Homo sapiens
Homo sapiens 13 years old male	Homo sapiens
Homo sapiens 11 years old girl	Homo sapiens
Homo sapiens 11 years old female	Homo sapiens
Homo sapiens 10 years old male	Homo sapiens
Homo sampiens 71 years old male	Homo sapiens
wild dog	Lycaon pictus
african wild dog	Lycaon pictus
lynx	Lynx
honeybadger	Mellivora capensis
Melursus ursinus (sloth bear); female	Melursus ursinus
Nyctinomops sp. (insectivorous bat)	Nyctinomops sp. m IT-2022
Nyctereutes sp.	Nyctinomops sp. m IT-2022
host	Scientific_name
spotted skunk	Spilogale putorius
Spilogale sp.	Spilogale putorius
Spilogale putorius lucasana, skunk	Spilogale putorius
Spilogale putorius leucoparia, skunk	Spilogale putorius
skunk (species unknown)	Spilogale putorius
skunk	Spilogale putorius
Himalayan black bear	Ursus thibetanus lanige
Caribbean mongoose	Urva auropunctata
Vulpes vulpes; 90RABN9285	Vulpes vulpes
